Place,lat,lon
Dorchester (Dorset),50.71667,-2.433333
Ilchester,51.00583,-2.679722
Bath,51.38,-2.36
Gatcombe,50.64861,-1.311389
Mildenhall,52.34444,0.5108333
Salisbury,51.08003458,-1.799073786
Winchester,51.065,-1.318611
Portchester,50.84167,-1.120278
Pevensey,50.81944,0.3394444
Durrington,50.83583,-0.4122222
Chichester,50.83667,-0.78
Clausentum,50.918,-1.3834
East Anton,51.222045,-1.441484
Silchester,51.35333,-1.100556
Caerwent,51.611,-2.765
Gloucester,51.85811139,-2.234273261
Cirencester,51.7143402,-1.965363077
Droitwich,52.26513721,-2.157844091
Verulamium,51.75,-0.3539
London,51.50833,-0.1255556
Richborough,51.31028,1.349167
Canterbury,51.27889,1.079722
Cholchester,51.88917,0.9041667
Norwich,52.62778,1.298333
Caister,52.64812716,1.729702359
Leicester,52.62975783,-1.152056161
Brough-on-Humber,53.73937284,-0.575584287
Wroxeter,52.67066256,-2.645613943
Dorchester-on-Thames,51.64694,-1.1675
Alchester,51.877537,-1.170986
